Date,entry_time,Token,cycle_id,Vol Buy (C4),Profit (C4),Margin (C4) %,Margin C1 %,Margin C2 %,Margin C3 %
2025-12-01,2025-12-01 05:50:29,391jwEiwX1wMbZcTbbTuV34NcS3E8PdjMVysXLTFpump,"('Ar2Y6o_391jwE_1764543029000',)",0.378850749,-0.131016592,-34.58264035265243,-10.88,-66.13,-15.99
2025-12-01,2025-12-01 06:23:02,8nez2xunQ1JTnVETFr8YdRBV32JRrjsSMzbJ9qFkpump,"('Ar2Y6o_8nez2x_1764544982000',)",0.952112391,-0.11947483599999997,-12.54839629536971,-32.79,-1.74,-36.24
2025-12-01,2025-12-01 13:34:16,8nez2xunQ1JTnVETFr8YdRBV32JRrjsSMzbJ9qFkpump,"('Ar2Y6o_8nez2x_1764570856000',)",1.2737636289999998,-0.3448723359999999,-27.07506543193972,-12.55,-10.73,-38.53
2025-12-01,2025-12-01 15:14:14,8nez2xunQ1JTnVETFr8YdRBV32JRrjsSMzbJ9qFkpump,"('Ar2Y6o_8nez2x_1764576854000',)",1.062116718,0.17417569100000008,16.398921893252798,-10.73,-38.53,-27.08
2025-12-01,2025-12-01 17:47:45,391jwEiwX1wMbZcTbbTuV34NcS3E8PdjMVysXLTFpump,"('Ar2Y6o_391jwE_1764586065000',)",0.311300994,0.019067370000000028,6.125059144526865,-66.13,-15.99,-34.58
2025-12-02,2025-12-02 01:39:24,9oHXQN1P5L7aitWD1hfFgGwqwcETouXWsLsoQXEfpump,"('Ar2Y6o_9oHXQN_1764614364000',)",0.37819579,0.01335127900000005,3.530255849754449,-21.19,-32.32,-32.67
2025-12-02,2025-12-02 02:16:16,AF1WXPafV4rGD38G1fs7kMH1an9HXNtigKaJqWRBpump,"('Ar2Y6o_AF1WXP_1764616576000',)",1.398636628,-0.06548207699999997,-4.681850574272246,-14.16,-27.66,-28.0
2025-12-02,2025-12-02 05:31:42,2jVQJJbhgVDuemdsc76R8dqAA7KVnHRxSrVZ2VH1pump,"('Ar2Y6o_2jVQJJ_1764628302000',)",0.668526054,0.425443338,63.639006356512176,-14.93,-74.05,-28.56
2025-12-02,2025-12-02 05:48:57,EHvGhUxaXZaUsKzLNk8mv8eLrMPiBBij5RvxNV8pump,"('Ar2Y6o_EHvGhU_1764629337000',)",0.953964624,-0.016175998999999996,-1.6956602575233435,-21.86,-1.68,-27.14
2025-12-02,2025-12-02 06:35:12,2JgL8u8tha5w9WTjVRh4PLjfLokuZKTGbsLsA8NpVfhH,"('Ar2Y6o_2JgL8u_1764632112000',)",0.5562531379999999,-0.18179273799999984,-32.68165617071986,-10.88,2.46,-20.89
2025-12-02,2025-12-02 07:11:52,3ni26V4GwAitUkVmwrjdRBC3htCu7GjzK2pS7b9cpump,"('Ar2Y6o_3ni26V_1764634312000',)",1.0677325489999998,0.3753378430000003,35.15279583370651,-8.1,-21.76,-16.94
2025-12-02,2025-12-02 08:50:20,DVRdAvdRaaukYCcwtUbUU2t9bzGgwsKuaAPPjGKFpump,"('Ar2Y6o_DVRdAv_1764640220000',)",0.668736949,-0.18621170000000004,-27.84528360193838,-29.43,-36.51,-42.29
2025-12-02,2025-12-02 11:12:47,DVRdAvdRaaukYCcwtUbUU2t9bzGgwsKuaAPPjGKFpump,"('Ar2Y6o_DVRdAv_1764648767000',)",0.620407779,-0.005596786999999992,-0.9021142528259615,-36.51,-42.29,-27.85
2025-12-02,2025-12-02 12:31:06,CaPfDDi35mnDy9NRzuxYC4d8uFphzjysYYvVof2Upump,"('Ar2Y6o_CaPfDD_1764653466000',)",1.082300202,-0.01688765400000003,-1.5603484106159327,-7.85,2.11,-14.44
